448537,hsa-mir-20b
448537,hsa-mir-625
3385,hsa-mir-26b
5311,hsa-mir-379
60750,hsa-mir-205
3229,hsa-mir-124-2
36314,hsa-mir-324
10635,hsa-mir-498
448537,hsa-mir-595
36462,hsa-mir-125b-2
5311,hsa-mir-134
5288826,hsa-mir-221
5311,hsa-mir-129-2
60750,hsa-mir-409
451668,hsa-mir-24-2
451668,hsa-mir-193b
451668,hsa-mir-29a
31703,hsa-mir-34b
5757,hsa-mir-27a
3385,hsa-mir-1286
31101,hsa-mir-516b-1
60852,hsa-mir-18a
60852,hsa-mir-133a-1
3385,hsa-mir-31
3229,hsa-mir-125a
5311,hsa-mir-502
9444,hsa-mir-19b-1
3385,hsa-mir-191
60750,hsa-let-7a-1
3229,hsa-mir-26a-2
448537,hsa-mir-371a
9444,hsa-mir-20a
36314,hsa-mir-126
448537,hsa-mir-34a
3385,hsa-let-7a-1
3229,hsa-mir-181b-2
60700,hsa-mir-34b
3385,hsa-mir-17
6013,hsa-mir-135a-1
5757,hsa-mir-211
448537,hsa-mir-195
60700,hsa-mir-518c
5288826,hsa-mir-26a-2
5311,hsa-mir-96
9444,hsa-mir-19a
5311,hsa-mir-127
3385,hsa-mir-149
5311,hsa-mir-654
5757,hsa-mir-518d
3385,hsa-mir-200b
448537,hsa-mir-126
5311,hsa-mir-593
3385,hsa-mir-10a
448537,hsa-mir-758
5311,hsa-mir-337
148124,hsa-mir-502
5311,hsa-mir-450a-2
448537,hsa-mir-15b
148124,hsa-mir-514a-1
448537,hsa-mir-642a
3385,hsa-mir-210
3229,hsa-mir-99a
60750,hsa-mir-211
5311,hsa-mir-183
5757,hsa-let-7g
3385,hsa-mir-93
3121,hsa-mir-21
60750,hsa-mir-342
3385,hsa-mir-29a
3385,hsa-mir-224
3385,hsa-mir-1275
451668,hsa-let-7f-1
451668,hsa-mir-181a-1
5757,hsa-mir-200c
448537,hsa-mir-373
2995,hsa-mir-124-2
448537,hsa-mir-493
3385,hsa-mir-135b
5288826,hsa-mir-26b
5757,hsa-let-7a-2
9444,hsa-mir-203a
5757,hsa-let-7a-1
3229,hsa-let-7b
3229,hsa-mir-23a
4095,hsa-mir-124-3
5288826,hsa-mir-320a
36462,hsa-mir-663a
5757,hsa-mir-9-3
448537,hsa-mir-551a
5757,hsa-mir-542
448537,hsa-mir-23a
3385,hsa-mir-19a
3385,hsa-mir-486
5311,hsa-mir-9-1
3229,hsa-mir-101-2
5311,hsa-mir-34a
3385,hsa-mir-575
3229,hsa-mir-199b
4091,hsa-mir-101-2
448537,hsa-mir-130b
3385,hsa-mir-1226
6013,hsa-mir-663a
5757,hsa-mir-518c
3385,hsa-mir-483
5757,hsa-mir-506
448537,hsa-mir-152
2995,hsa-mir-18a
448537,hsa-mir-92a-1
451668,hsa-mir-130a
3385,hsa-mir-365a
5311,hsa-mir-92a-1
60750,hsa-let-7d
5757,hsa-mir-200b
451668,hsa-mir-15a
2995,hsa-mir-124-1
3229,hsa-mir-31
5288826,hsa-mir-99b
3385,hsa-mir-1246
5311,hsa-mir-99b
3229,hsa-mir-126
31101,hsa-mir-550a-1
3229,hsa-mir-193b
60700,hsa-mir-1226
451668,hsa-mir-145
4091,hsa-let-7a-1
6013,hsa-mir-29a
5790,hsa-mir-324
5288826,hsa-mir-146a
3229,hsa-mir-7-1
5311,hsa-mir-124-1
448537,hsa-mir-17
451668,hsa-mir-494
148124,hsa-mir-518c
