hsa-miR-550a-3p,31101,1
hsa-miR-19b-3p,46937290,1
hsa-miR-145-5p,9444,1
hsa-miR-501-5p,60700,1
hsa-miR-323a-3p,119307,1
hsa-miR-32-5p,119307,1
hsa-miR-194-5p,60823,1
hsa-miR-30b-5p,444732,1
hsa-miR-4284,119307,1
hsa-miR-4735-3p,3385,1
hsa-miR-21-5p,14888,1
hsa-miR-21-5p,146160902,1
hsa-miR-663a,444795,1
hsa-miR-378i,3385,1
hsa-miR-150-5p,46937290,1
hsa-miR-130b-3p,119307,1
hsa-let-7d-5p,5280795,1
hsa-miR-497-5p,448537,1
hsa-let-7d-5p,25113114,1
hsa-miR-147a,3385,1
hsa-miR-182-5p,451668,1
hsa-miR-30b-5p,451668,1
hsa-miR-372-3p,124024,1
hsa-miR-493-5p,124024,1
hsa-miR-183-3p,3385,1
hsa-miR-34a-5p,6942,1
hsa-miR-939-5p,119307,1
hsa-miR-18a-5p,60852,1
hsa-miR-1286,3385,1
hsa-let-7c-5p,444795,1
hsa-miR-1-3p,445580,1
hsa-miR-153-3p,15939,1
hsa-miR-320d,3385,1
hsa-miR-15a-5p,2336,1
hsa-miR-1268a,54670067,1
hsa-miR-4729,3385,1
hsa-miR-29a-3p,14888,1
hsa-miR-3651,119307,1
hsa-miR-125a-5p,46937290,1
hsa-miR-22-3p,444795,1
hsa-miR-425-5p,4624,1
hsa-miR-296-5p,119307,1
hsa-miR-99b-5p,54670067,1
hsa-miR-1251-5p,3385,1
hsa-miR-134-5p,47725,1
hsa-miR-1246,54670067,1
hsa-miR-645,448537,1
hsa-miR-3614-3p,3385,1
hsa-miR-22-5p,5311,1
hsa-miR-19a-3p,451668,1
hsa-miR-559,448537,1
hsa-miR-181a-3p,60750,1
hsa-miR-1827,60823,1
hsa-miR-21-5p,5329102,1
hsa-miR-100-5p,444732,1
hsa-miR-874-3p,5790,1
hsa-miR-671-5p,445434,1
hsa-miR-100-5p,14888,1
hsa-miR-34a-5p,936,1
hsa-miR-1226-5p,3385,1
hsa-miR-21-5p,3229,1
hsa-miR-17-5p,6279,1
hsa-miR-142-5p,5994,1
hsa-miR-1207-5p,5280453,1
hsa-miR-518c-3p,60700,1
hsa-miR-4257,97226,1
hsa-miR-181a-5p,445580,1
hsa-miR-27a-3p,46937290,1
hsa-miR-148a-3p,119307,1
hsa-miR-221-3p,14888,1
hsa-miR-520f-3p,5702198,1
hsa-miR-20a-5p,451668,1
hsa-miR-27b-3p,5702198,1
hsa-miR-499a-5p,56842238,1
hsa-miR-135a-3p,6013,1
hsa-miR-1227-3p,5311,1
hsa-miR-486-3p,5793,1
hsa-miR-556-5p,3385,1
hsa-miR-148a-3p,5281708,1
hsa-miR-98-5p,146160902,1
hsa-miR-22-3p,6013,1
hsa-miR-760,60823,1
hsa-miR-181b-5p,452548,1
hsa-miR-34a-5p,25113114,1
hsa-miR-205-5p,5793,1
hsa-miR-140-3p,3385,1
hsa-let-7g-5p,5757,1
hsa-miR-583,54670067,1
hsa-miR-335-5p,6623,1
hsa-miR-181d-5p,31401,1
hsa-miR-638,5757,1
hsa-miR-141-3p,445580,1
hsa-miR-21-5p,10635,1
hsa-miR-652-3p,31703,1
hsa-miR-200c-3p,784,1
hsa-miR-4633-5p,5702198,1
hsa-miR-24-3p,702,1
hsa-miR-152-3p,448537,1
hsa-miR-132-3p,5311,1
hsa-miR-377-3p,2375,1
hsa-miR-22-3p,31703,1
hsa-miR-21-5p,146160902,1
hsa-miR-372-3p,60750,1
hsa-miR-520f-3p,31703,1
hsa-miR-29a-3p,451668,1
hsa-let-7d-5p,5757,1
hsa-miR-328-3p,164676,1
hsa-let-7f-5p,5280795,1
hsa-miR-26a-5p,25113114,1
hsa-miR-34a-5p,216326,1
