89.77,92.82,86.73,87.44,79.69,95.78
92.62,91.84,93.4,93.26,85.25,97.93
90.03,90.26,89.8,89.8,80.05,96.04
92.62,94.39,90.86,91.13,85.3,97.65
89.82,94.39,85.28,86.45,79.98,96.22
90.97+1.51,92.74+1.76,89.21+3.25,89.62+2.76,82.05+2.94,96.72+0.99
1.51,1.76,3.25,2.76,2.94,0.99
